X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC
15512.2941,37010.6732,28521,B05,BLK 457
14254.4932,33994.5469,21319,B13,OPP TRACTOR RD
36611.3272,42422.2582,65271,B08,OPP BLK 188
25905.2854,30474.2729,10289,B08,OPP SIS BLDG
6893.652998,35080.8715,25509,B02,OPP WEE WEE HUP KEE
13181.8653,34607.5226,22271,B01,JEBSEN \& JESSEN
30218.752,31126.487,1013,B05,ST JOSEPH'S CH
18498.6033,35252.5369,28651,B01,OPP IMM BLDG
27758.8191,48291.2436,58061,B31,AFT THE ASHRAM
35248.0196,35114.88594,70071,B05,CYCLE & CARRIAGE
24554.4204,28837.5844,15051,B20,ALEXANDRA PT
28715.5192,34715.2388,51029,B14,OPP OLD POLICE ACADEMY
10662.1088,33838.9861,24011,B26,ALLIED SIGNAL S'PORE
37437.3258,40211.6395,73029,B26,OPP LP 223R10
32131.7419,41104.7017,67041,B28,AFT JLN KAYU
22955.2214,46140.7049,46339,B03,BLK 370
13996.0026,35028.9787,22431,B02,OPP PAR INVESTMENT
24082.1391,47571.1944,46809,NIL,OPP WOODLANDS MART
29300.1395,39804.0514,54059,B08,BEF ANG MO KIO LIB
22701.95928,31118.36335,18129,B07,AYER RAJAH IND EST
24480.81039,46239.88226,47551,B05,BLK 630
33981.27801,35537.18701,70291,B03,
23117.4738,30695.6604,18099,B08,AYER RAJAH BUS PK
34670.7788,40581.2048,67601,NIL,BUANGKOK STN
25091.2986,47516.4394,46749,B03,OPP SEAGATE
34369.768,32327.2421,81199,B02,NORTHLIGHT SCH
35074.3816,39972.9882,64029,B10,OPP BLK 458
26832.2978,40790.3711,56061,B29,AFT NTUC FAIRPRICE CTR
17175.3598,32070.5747,29041,B03,BAN JOO
37917.7458,33875.2304,84011,B01,CHAI CHEE IND PK
20165.97,40813.6575,44651,B10,BLK 617
32171.44875,34515.17111,60219,B02,BEF SIEMENS CTR
19336.4271,42443.1656,45041,B13,THONG HUAT BROS PTE LTD
19494.9102,35777.1172,43311,B06,MIDVIEW BLDG
35565.6608,41659.5249,65059,B12,ST ANNE'S CH
21439.9113,31253.6323,16171,B06,YUSOF ISHAK HSE
34392.0792,40814.6513,67469,B01A,BEF SENGKANG EAST AVE
23200.753,42934.8148,48131,B01,S'PORE ZOOLOGICAL GDNS
31381.0554,35313.4853,61101,NIL,BLK 120
35970.68407,33667.80894,83101,B01,EUNOS STN
31152.5452,31688.0846,1239,B01,SULTAN PLAZA
20134.1995,31917.3757,17269,B01,BLK 730
24595.3704,46820.8319,47599,NIL,BLK 683A
22723.57089,33349.84803,11291,B17,COLD STORAGE JELITA
25112.1099,30368.68192,11531,B12,OPP LEA HIN HARDWARE FTY
44529.7299,36038.3846,95151,B01,AIRPORT POLICE STN
28333.534,30920.2079,13081,B10,AIRVIEW TWR
14126.0561,36863.4642,21381,B01,ST JOSEPH'S HOME
34541.0427,34361.087,71169,B01,AZTECH BLDG
14028.59344,37148.0698,27471,B02,CORPORATION PR SCH
18483.5118,38574.9236,43831,B02A,BLK 334
42422.6075,36560.4573,96061,B13,OPP MERA TERR P/G
28104.3505,31609.2582,9011,B01,OPP NGEE ANN CITY
39716.1054,40516.2934,77259,B20,OPP BLK 713
21890.85257,46852.77675,46189,B03,BLK 12
24929.1433,30530.3401,11541,B01,BLK 175
20787.2637,36661.8086,43631,B01,YWMA KINDERGARTEN
25686.6461,48180.856,NIL,B05,WOODLANDS AVE 10
28043.8412,38412.5953,53349,B05,BISHAN PK SEC SCH
32516.2048,36201.1466,62109,B09,AFT UPP S'GOON RD
22717.9161,29808.6504,15109,B07,LP 30
41817.8151,37649.0552,76231,B11,TAMPINES JC
7483.872202,34052.2894,25379,NIL,AFT TUAS AVE 6
19236.2679,44492.9882,45101,B25,AFT LP 234
22940.50463,35202.85269,42039,B30,OPP THE NEXUS
32805.52255,40198.87403,64121,B19,AFT ANG MO KIO AVE 5
28665.8522,39794.5296,54201,B05,OPP BLK 155
38518.2166,32807.2024,93089,B04,OPP GOODWILL CT
27569.7382,40091.8464,56191,B54,OPP NPB S'GOON DEPOT
28372.1944,35907.9125,51069,B22,MT ALVERNIA HOSP
16128.92305,39596.9366,30059,B15,
40398.9284,33158.2454,94049,B16,FAIRVIEW CT
15299.5549,37568.3248,28161,B11,BEF HONG KAH FLYOVER
32161.67825,41271.28023,67659,B03,"AFT SELETAR WEST RD"
35742.574,34492.53094,71101,B01,BLK 318
40599.183,39738.0996,77131,B01,BLK 502
14312.3453,36600.9294,21421,B03,BLK 176
25904.4582,29566.36,10659,B02,BLK 1003
23731.043,34871.6301,42011,B35,SIXTH AVE CTR
12569.5191,39335.9958,31059,B01,AFT CHR CEMY PATH 3
12493.081,39550.824,31149,B35,OPP BAHAI CEMY
28316.0718,31418.5487,9059,B01,NATL YOUTH COUNCIL
30504.2506,39777.614,54481,B14,OPP ANG MO KIO ITE
26198.933,31296.6016,13031,B06,HSE NO 305
21859.0532,33083.3876,12199,B03,OPP VILLAGE TWRS
33199.6369,41543.5668,67479,B01,BEF FERNVALE LINK
41960.1826,39708.2175,78111,B09,BLK 479
36028.7221,42790.4365,65229,B03,BLK 298
41067.633,34619.6856,85101,B01,AFT BEDOK RD
13932.3085,35558.606,22571,B29,OPP BOON LAY STN
32846.64585,40205.35822,64129,B20,BEF BLK 965
25683.6372,30086.0898,10419,B02,BLK 52
42075.227,39495.9224,78231,B01,OPP BLK 482
33458.7718,39187.2079,63389,B14,OPP XINMIN PR SCH
32335.997,31063.5841,90021,B06,PEBBLE BAY
13576.3115,32883.6548,22069,B06,COOLING SYS PTE LTD
13228.5924,44206.3773,32071,B23,AFT TRACK 13
40591.4851,34341.5146,85099,B14,TANAH MERAH STN
21045.1014,40242.0791,44331,B01,BLK 239
41603.76401,35413.10901,96081,B05,
24568.7377,30391.8459,11561,B05,BLK 166
40554.0431,37318.376,76141,B09,TAMPINES STN/INT
30951.5803,38079.6104,66191,B03,S'GOON GDN SCH
12476.8986,32211.5971,23389,B02A,ASIA CEMENT PTE LTD
30329.4549,39373.9206,54411,B02,BLK 527
14993.305,36905.6135,28531,B09,BLK 536
41642.8072,36513.8965,96139,B01,BLK 148
11485.3002,34457.9814,23151,B16,CONTAINERS PRINTERS
22003.6972,35796.0165,42089,B02,OPP BT TIMAH PLAZA
7028.885699,35124.5075,25099,B02,OPTO-PHARM
22831.749,47133.7638,46261,B09,BLK 808
26353.1856,29283.4814,10339,B05,AFT BT MERAH CTRL
29542.7049,32678.9655,50011,B03,OPP PARISH OF CHRIST CH
18641.50384,38427.13223,43659,B01,ST ANTHONY'S PR SCH
42227.9555,39563.1564,78221,B06,
34065.7478,39047.4577,63359,B01,HOUGANG SWIM CPLX
36335.29597,38525.74101,64141,B13,AFT JLN TELAWI
36530.2647,32981.1799,83139,B07,AFT JOO CHIAT PL
12736.24223,39473.10721,31159,B33,
29669.9342,40841.5136,55231,B02,OPP SBST EAST DISTRICT
28404.7686,41300.9235,55351,B03,OPP FUDU WALK P/G
37378.1868,32166.811,92089,B10,CHIJ KATONG CON
27575.861,47252.6979,58239,B22,CANBERRA LINK
33524.15353,31938.86178,80271,B06,OPP BLK 2
35142.59382,31500.49403,82059,B02,ONE AMBER
44329.515,39204.7395,97089,B02,OPP SELARANG PK DRUG REH.
40577.2556,40261.7576,77099,B06,BEF PASIR RIS AVE
14109.5186,36335.6547,21391,B06,RIVER VALLEY HIGH SCH
28861.4837,31451.5698,8137,B08,ORCHARD PLAZA
20065.52459,37889.63139,43301,B02,OPP HILLBROOKS
16000.1755,46531.6371,49249,B08,DRAGON FISH IND
46410.2248,41129.4873,95099,B01,CHANGI INTL EXH CTR
21505.891,30250.8824,16051,B25,THE CRYSTAL TABERNACLE CH
42469.6704,38513.2267,98099,B02,BLK 269A
27045.3394,46944.9972,58019,B22,AFT SEMBAWANG SHOP CTR
28837.832,31358.0431,8111,B03,WINSLAND HSE
18122.459,33567.772,20251,B01,BEF TEBAN GDNS RD
31178.8778,44049.7746,68131,B09,OPP BLK 532
24962.72675,33168.8752,11101,B09,FARRER RD MKT
26296.0874,28835.2323,14281,B06,OPP BLK 11
29366.8503,40337.0503,55509,NIL,YIO CHU KANG TER
28978.1488,34115.2762,50059,B10,OPP THOMSON MED CTR
7577.365597,34938.2513,25119,B12,SIN HIAP CHUAN HARDWARE
23097.8016,47362.6934,46451,B08,OPP BLK 872
34140.5025,41833.0167,67381,NIL,OPP BLK 317B
29513.565,37398.132,53391,B01,OPP BLK 203
41783.7191,39142.6305,78071,B02,BLK 446
21544.3542,38650.4521,44369,NIL,AFT DAIRY FARM RD
19293.486,32698.718,20281,B23,OPP THE JAPANESE SEC SCH
39255.6574,37269.3709,75169,B04,OPP BLK 853
25969.7557,30144.4745,10421,B06,BLK 63B
32623.6072,34273.5204,70349,B01,BEF LOR BAKAR BATU
27362.2981,40115.0082,56041,B25,OPP GREEN MEADOWS CONDO
32262.4114,36558.3425,62121,B11,AFT WOLSKEL RD
27306.9464,35939.2408,40261,B03,LP 52
35030.237,31256.6943,91121,NIL,HSE 189
18063.9535,39826.1514,44091,B06,OPP FORMER KEAT HONG CAMP
39588.52223,32974.12465,94029,B10,EAST COAST VILLE
42584.73585,40140.74804,78279,NIL,OPP LOYANG TOWNHOUSE
35981.60572,31675.41611,92041,B01,OPP PARKWAY PARADE
30732.284,30625.3888,2151,B04,SUNTEC CONVENTION CTR
16864.1897,36072.1591,28349,B16,OPP CHINESE GDN STN
20057.6141,37860.5875,43309,B01,HILLBROOKS
31627.6169,32954.9471,60059,B01,BEF KALLANG PL
7778.878199,35205.2588,25221,B41,RAFFLES COUNTRY CLUB
5584.701601,34349.4138,26201,B13,ISK S'PORE
35524.5969,38301.8618,64221,B09,AFT FISH FARM RD 1
22129.3095,46827.9953,46191,B02,BLK 7
20831.6077,37520.0006,43049,B08,OPP HUME PK CONDO
35478.5528,34326.9761,71111,B03,BLK 343
35094.4245,34564.8399,71149,B05,BLK 3024
43678.569,39756.5,98149,B06,WACKER CHEMICALS
33575.8779,31947.9584,80279,B05,BLK 2
13634.63525,39378.36898,31171,B30,
28300.1143,36045.9012,51071,B21,MACRITCHIE RESERVOIR
42217.1469,37133.314,76449,B03,BLK 343
20513.7443,40634.8548,44671,B03,BET BLKS 502/503
44180.0707,40055.8094,98079,B14,BEF SIA ENGINE TEST CTR
43030.5495,38809.651,98039,B06,BEF NEW LOYANG LINK
32167.71223,37029.89381,66389,B02,OPP BLK 334
38754.5967,34171.6943,84009,NIL,BEDOK BUS INT
28395.7367,37451.679,53189,B04,BLK 25
12864.9441,36835.7716,27431,B08,BLK 762
18459.1738,40134.5032,44441,B04,BLK 239
31925.3104,40077.3614,66451,B06,AFT ANG MO KIO IND PK 2
35187.97806,35389.93301,71071,B06,OPP COMFORT DRIVING CENTRE
32354.8461,42405.6889,68059,B12,AFT TPE
26291.6672,27430.362,14461,B99,KEPPEL BAY TWR
14550.0802,36631.8746,21431,B01,BLK 210
30834.2105,36188.8562,52061,B08,BCA ACADEMY
12370.3988,36429.2948,27419,B04,BLK 828A
30501.3145,31035.3331,1631,B01,AFT BEACH RD
15695.8189,34580.2688,21561,B01,BLK 158
18527.8309,34702.2258,28041,0,The Synergy
34632.1086,39600.722,64371,B01,OPP PUNGGOL CC
19037.3409,31534.7015,29089,B07,SWANSON PLASTICS
24887.9358,32483.8704,11221,B07,LIEN TWRS
28675.6054,30926.4778,13091,B08,AFT AA CTR
38846.0067,38164.4763,75291,B05,AFT TAMPINES AVE 9
13291.1103,36961.7814,27449,B09,AFT WESTWOOD AVE
8832.8678,32445.9483,24671,B19,JSW PLASTIC MACHINERY
19153.3151,41752.5204,45021,B09,HEAVY VEH PK
31085.8992,38467.4729,66211,B03,OPP BLOXHOME DR
14979.9636,34900.4545,21531,B02,CLARIANT S'PORE
5500.3559,33625.5437,26249,NIL,BEF TUAS STH AVE 2
39673.34945,40159.97164,77221,B01,BLK 651
34157.8125,40188.6664,64449,B03,OPP HOUGANG G. SHOP MALL
30124.60045,38439.29123,54321,B03,BLK 354
32265.99931,39747.923,66511,B02,
26168.1666,42696.1613,57149,B01,AFT UPP THOMSON RD
4473.292199,30681.5652,26379,NIL,YONG NAM
26457.4678,35537.1139,41159,B08,AFT LORNIE WALK
20611.4358,36505.781,42191,B09,BEF BT BATOK EAST AVE 6
33942.9073,33481.5297,81211,B03,GEYLANG POLYCLINIC
23847.3888,46401.6985,46689,B06,OPP BLK 899A
33553.566,40121.2744,66499,B04,BLK 911
38220.3377,33958.9156,84021,B03,BLK 32
37070.6093,32132.434,92071,B07,OPP BLK 57
41277.2327,33338.1144,94009,NIL,UPP EAST COAST TER
30749.0316,35766.3652,52389,B06,BLK 227
20589.042,39246.8178,43121,B04,AFT CASHEW TERR
14059.3441,36134.7466,21369,B03,OPP BLK 695
32935.1133,37094.9217,62051,B15,PAYA LEBAR CAMP
21723.1602,30177.2815,16041,B23,OPP THE LONGHOUSE
20337.8305,35496.7665,42299,B02,AFT TOH TUCK CRES
22897.3241,30977.7551,18069,B04,OPP BLK 71
9402.025302,31066.1848,24461,B01,SMARTY BT OILFIELD
