X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
15512.2941021566,37010.6732004861,28521,B05,BLK 457,15512,37011
14254.4932017451,33994.5468988001,21319,B13,OPP TRACTOR RD,14254,33995
36611.3272027672,42422.258196946,65271,B08,OPP BLK 188,36611,42422
25905.2853974989,30474.2728990533,10289,B08,OPP SIS BLDG,25905,30474
6893.65299766287,35080.8715017752,25509,B02,OPP WEE WEE HUP KEE,6894,35081
13181.8652976569,34607.5226003799,22271,B01,JEBSEN \& JESSEN,13182,34608
30218.7520021537,31126.4870024464,01013,B05,ST JOSEPH'S CH,30219,31126
18498.6032969351,35252.536897462,28651,B01,OPP IMM BLDG,18499,35253
27758.8191011397,48291.2436032819,58061,B31,AFT THE ASHRAM,27759,48291
35248.0195975887,35114.8859390073,70071,B05,CYCLE & CARRIAGE,35248,35115
24554.4204017494,28837.5843994769,15051,B20,ALEXANDRA PT,24554,28838
28715.5191967416,34715.2388001813,51029,B14,OPP OLD POLICE ACADEMY,28716,34715
10662.1088007454,33838.9861023406,24011,B26,ALLIED SIGNAL S'PORE,10662,33839
37437.3257996273,40211.6394973214,73029,B26,OPP LP 223R10,37437,40212
32131.7418974155,41104.7017015507,67041,B28,AFT JLN KAYU,32132,41105
22955.2214025994,46140.7048990395,46339,B03,BLK 370,22955,46141
13996.0025998294,35028.9786989082,22431,B02,OPP PAR INVESTMENT,13996,35029
24082.1390988573,47571.1943970049,46809,NIL,OPP WOODLANDS MART,24082,47571
29300.1395008231,39804.0514003117,54059,B08,BEF ANG MO KIO LIB,29300,39804
22701.959280177,31118.3633487387,18129,B07,AYER RAJAH IND EST,22702,31118
24480.8103895879,46239.8822646371,47551,B05,BLK 630,24481,46240
33981.278009389,35537.1870059847,70291,B03,,33981,35537
23117.4738005216,30695.660401774,18099,B08,AYER RAJAH BUS PK,23117,30696
34670.7787986023,40581.2047996104,67601,NIL,BUANGKOK STN,34671,40581
25091.2985989987,47516.4393972643,46749,B03,OPP SEAGATE,25091,47516
34369.7680016027,32327.2421000597,81199,B02,NORTHLIGHT SCH,34370,32327
35074.3816011396,39972.9881982797,64029,B10,OPP BLK 458,35074,39973
26832.2978004734,40790.3711018175,56061,B29,AFT NTUC FAIRPRICE CTR,26832,40790
17175.3598010341,32070.574697559,29041,B03,BAN JOO,17175,32071
37917.7457993335,33875.2303979171,84011,B01,CHAI CHEE IND PK,37918,33875
